,precision,recall,f1-score,support
Bucatini,0.9957983193277311,0.983402489626556,0.9895615866388309,241.0
Conchiglie,1.0,1.0,1.0,241.0
Espagueti,0.9836065573770492,0.995850622406639,0.9896907216494846,241.0
Estrellitas,1.0,1.0,1.0,240.0
Farfalle,1.0,1.0,1.0,240.0
Fettuccine,1.0,1.0,1.0,241.0
Fideos,1.0,1.0,1.0,241.0
Fusilli,1.0,1.0,1.0,240.0
Lasagna,1.0,1.0,1.0,236.0
Macarrones,1.0,0.9958333333333333,0.9979123173277662,240.0
Orecchiette,0.9957805907172996,1.0,0.9978858350951374,236.0
Penne,1.0,1.0,1.0,241.0
Rigatoni,1.0,1.0,1.0,241.0
accuracy,0.9980763065084963,0.9980763065084963,0.9980763065084963,0.9980763065084963
macro avg,0.9980911898016984,0.9980835727205022,0.998080804670094,3119.0
weighted avg,0.998089385923416,0.9980763065084963,0.9980762486497596,3119.0
